逝者姓名,身份证件类型代码,身份证件号码,性别代码,民族代码,年龄,职业代码,文化程度代码,生前工作单位,生前常住地址,户籍地址,亲属姓名,亲属关系代码,亲属联系电话,亲属住址,出生日期,死亡日期,死亡地点代码,死亡原因,签发日期,签发机构
徐峰,01,360000190501306764,1,56,34,06,04,九方传媒有限公司,天津市宁市黄浦哈尔滨路g座 784671,内蒙古自治区北京市秀英辽阳街e座 614458,姚琴,04,18815330840,安徽省深圳市龙潭邯郸路v座 373906,2017-05-29,2011-02-04,04,一下价格数据如何关系就是.,2026-01-09,XX医院
王华,01,350000202112208849,1,56,25,03,05,凌云信息有限公司,黑龙江省鑫市西夏太原路K座 635968,西藏自治区太原县合川戚路C座 293852,王博,05,15337287114,海南省颖县翔安拉萨路j座 576886,2003-09-23,2021-09-15,02,提高这是事情其实.,2026-01-11,XX医院
崔梅,01,650000194312136855,1,35,83,01,07,维旺明科技有限公司,云南省柳州县平山北京街O座 661568,河北省广州市东城张街N座 243425,唐玉梅,05,18736310110,山西省磊市房山花路A座 132282,1928-08-06,2019-10-18,02,会员精华学校法律.,2026-01-10,XX医院
刘东,01,220000198605245295,0,51,90,09,05,佳禾科技有限公司,内蒙古自治区利县门头沟长春路h座 789521,山西省西宁市秀英费路K座 127161,梁秀英,05,14763231084,山西省龙市秀英贾街V座 917144,1921-01-05,2000-10-15,02,特别全部具有.,2026-01-06,XX医院
陈晨,01,110000197409221413,1,15,117,09,07,万迅电脑传媒有限公司,海南省北京县江北荆门街w座 349758,浙江省石家庄市友好张路G座 204085,吴洋,03,18939076069,四川省秀梅市安次王路F座 943772,1995-09-04,1997-12-16,03,如何处理制作这里.,2026-01-04,XX医院
唐雪,01,440000196904095495,1,39,43,07,07,迪摩科技有限公司,山西省坤市南长高街T座 437404,重庆市张家港市高明王街E座 549842,聂琴,03,14512815671,湖北省香港市长寿北镇街V座 328446,1917-06-21,2022-01-18,02,这些无法有限今天质量包括.,2026-01-05,XX医院
周建平,01,310000195110294077,1,06,115,02,03,昂歌信息科技有限公司,内蒙古自治区六盘水县黄浦郭街D座 986059,甘肃省玉华县南湖香港路x座 322538,黄成,05,18915952255,山东省杰县蓟州常街w座 682695,2003-08-22,2019-11-25,02,当然操作方式自己觉得.,2026-01-02,XX医院
门淑华,01,350000191502166698,0,03,86,05,01,天益信息有限公司,湖北省丽华县东城辽阳街z座 538368,四川省长沙市崇文大冶街m座 879437,刘彬,01,15533162346,香港特别行政区南宁县魏都六安路o座 986793,1939-02-21,2024-02-01,03,各种任何一般个人男人结果等级音乐.,2026-01-05,XX医院
谢浩,01,150000197104273500,1,17,16,07,03,华远软件科技有限公司,辽宁省拉萨市西峰香港街Y座 725252,云南省飞市黄浦潜江街t座 367481,丁秀荣,01,18049033344,台湾省济南县六枝特辽阳路Q座 429153,1915-03-07,2011-11-22,02,完成时间是一包括应该广告状态.,2026-01-10,XX医院
袁娜,01,440000191603162209,0,13,97,06,05,网新恒天传媒有限公司,山西省长春市蓟州南昌路h座 961343,山西省秀珍市金平林街E座 636414,李桂英,02,13624113326,山东省太原县新城合肥路t座 300847,1952-08-14,2021-10-22,01,设备通过孩子下载.,2026-01-02,XX医院
